Why are flamingos pink?,they eat shrimp
Is this Cloze thing actually working?,Yes
Eli --- is the QB for the NY Giants,Manning
--- won an oscar for best male actor in 1954.,Marlon Brando
--- was the first Prez!,George Washington
who is the main actor in Freaky Friday (2003)?,Lindsay Lohan
Who is Bill Clinton's wife?,Hilary Clinton
My TA's name is ---,Michael
I was born on August 8th 1981 and am regarded by many as the GOAT in tennis. Who am I? ,Roger Federer
Hello my name is Max ---,Van Bel
google is the ---,browser
